label,species
0,Accipiter nisus
1,Acridotheres tristis
2,Anas platyrhynchos
3,Ardea cinerea
4,Buteo buteo
5,Chroicocephalus ridibundus
6,Ciconia ciconia
7,Coloeus monedula
8,Columba livia
9,Corvus cornix
10,Cyanistes caeruleus
11,Erithacus rubecula
12,Fringilla coelebs
13,Fulica atra
14,Garrulus glandarius
15,Gulosus aristotelis
16,Hirundo rustica
17,Larus michahellis
18,Microcarbo pygmaeus
19,Motacilla alba
20,Parus major
21,Passer domesticus
22,Phalacrocorax carbo
23,Pica pica
24,Psittacula krameri
25,Spilopelia senegalensis
26,Streptopelia decaocto
27,Sturnus vulgaris
28,Tachymarptis melba
29,Turdus merula
